1000a,Closure,129,INCORRECT,./incorrect/Closure-129/1624652314155.patch,Nopol2017,"com.google.javascript.rhino,Node.java,1425,12",0.0002655337228,Xiong(Patch145)
1001a,Closure,129,INCORRECT,./incorrect/Closure-129/1624652314156.patch,GenProg,"com.google.javascript.rhino,Node.java,1543,7",0.0002485089463,Wang(patch1-Closure-129-GenProg-plausible)
1002a,Closure,129,INCORRECT,./incorrect/Closure-129/1624652314157.patch,FixMiner,"com.google.javascript.rhino,Node.java,1543,7",0.0002485089463,Wang(patch1-Closure-129-FixMiner-plausible)
1003a,Closure,129,INCORRECT,./incorrect/Closure-129/1624652314158.patch,Kali,"com.google.javascript.rhino,Node.java,1543,7",0.0002485089463,Wang(patch1-Closure-129-Kali-plausible)
1004a,Closure,127,CORRECT,./correct/Closure-127/1624652314158.patch,N/A,"com.google.javascript.jscomp,UnreachableCodeElimination.java,167,13",0.04411764706,Defects4J_2_0_0(Closure-127)
1005a,Closure,127,INCORRECT,./incorrect/Closure-127/1624652314159.patch,Kali,"com.google.javascript.jscomp,UnreachableCodeElimination.java,167,7",0.04411764706,Wang(patch1-Closure-127-Kali-plausible)
1006a,Closure,126,CORRECT,./correct/Closure-126/1624652314159.patch,N/A,"com.google.javascript.jscomp,MinimizeExitPoints.java,138,10",0.02739726027,Defects4J_2_0_0(Closure-126)
1007a,Closure,126,INCORRECT,./incorrect/Closure-126/1624652314160.patch,TBar,"com.google.javascript.jscomp,MinimizeExitPoints.java,140,7",0.02739726027,Wang(patch1-Closure-126-TBar-plausible)
1008a,Closure,126,INCORRECT,./incorrect/Closure-126/1624652314161.patch,kPAR,"com.google.javascript.jscomp,MinimizeExitPoints.java,139,7",0.02739726027,Wang(patch1-Closure-126-kPAR-plausible)
1009a,Closure,126,INCORRECT,./incorrect/Closure-126/1624652314162.patch,AVATAR,"com.google.javascript.jscomp,MinimizeExitPoints.java,140,7",0.02739726027,Wang(patch1-Closure-126-AVATAR-plausible)
100a,Chart,1,INCORRECT,./incorrect/Chart-1/1624652313249.patch,Arja,"org.jfree.chart.renderer.category,AbstractCategoryItemRenderer.java,1795,7",0.02631578947,Ye(patch4-Chart-1-Arja-plausible)
100b,Math,6,INCORRECT,./incorrect/Math-6/1628244108115.patch,3sFix,"org.apache.commons.math3.optim,BaseOptimizer.java,90,7",1,NewDataset(patch1-Math-6-3sFix-1)
